9.90,9.93
7.25,5.60
11.25,13.10
17.74,15.01
20.94,17.89
24.49,18.38
27.14,19.20
29.80,20.19
31.22,21.34
32.65,21.32
33.80,21.57
34.69,21.42
35.09,20.57
35.78,20.14
36.65,22.37
37.47,22.90
38.86,23.09
39.74,22.17
40.14,23.82
41.07,24.12
41.36,23.23
41.67,24.13
41.96,24.42
42.54,24.33
42.39,24.91
43.14,24.06
43.09,24.62
43.22,24.11
43.53,23.95
43.95,25.27
43.89,24.99
43.89,24.08
44.04,24.57
44.36,25.63
44.26,24.53
44.32,23.33
44.83,24.73
44.29,23.30
45.04,24.66
45.35,24.18
45.38,24.58
45.32,24.80
45.54,24.46
45.29,24.40
45.51,24.69
45.71,24.58
45.88,23.40
46.12,23.94
46.15,24.11
46.14,23.66
46.04,23.88
46.13,24.20
46.05,23.46
46.35,24.07
46.40,23.44
46.75,24.55
46.53,24.28
46.58,24.74
46.93,24.10
47.10,24.12
46.98,24.38
47.61,24.18
47.93,24.65
47.78,24.15
48.14,24.39
47.83,23.78
48.11,23.54
47.93,24.23
48.22,24.21
48.37,24.16
